Phone Number,Email,Credit Score,Age Group,Family Background,Income,Lead Source,Product Interest Level,Interaction Frequency,Time Since Last Interaction,Website Visit Count,Intent
+91-9016001454,user792@example.com,510,18-25,Single,116535,Website,Medium,Medium,7,1,0
+91-8989877557,user793@example.com,540,51+,Married,428634,Social Media,Medium,High,1,6,1
+91-7625185543,user794@example.com,560,18-25,Single,670850,Social Media,Medium,Low,18,8,1
+91-7579784140,user795@example.com,540,36-50,Married,481186,Event,High,High,1,7,0
+91-9818007985,user796@example.com,530,18-25,Single,356323,Cold Call,Low,High,3,3,1
+91-7407286573,user797@example.com,590,36-50,Married,975512,Social Media,Medium,Medium,7,9,0
+91-8330824902,user798@example.com,530,18-25,Single,358916,Cold Call,Low,Medium,7,5,0
+91-9248852518,user799@example.com,580,36-50,Married,813895,Referral,High,Medium,10,11,0
+91-7255106862,user800@example.com,530,18-25,Single,330063,Social Media,Medium,Low,23,3,1
+91-7144719925,user801@example.com,510,26-35,Married,141269,Cold Call,Low,Low,13,2,0
+91-8221742054,user802@example.com,510,18-25,Single,180674,Referral,High,Medium,6,1,1
+91-7132008561,user803@example.com,590,18-25,Single,928894,Event,High,High,3,11,0
+91-8266725804,user804@example.com,530,26-35,Married,385291,Social Media,Medium,Medium,4,3,1
+91-8012522956,user805@example.com,550,51+,Married,538744,Event,High,Low,14,7,1
+91-9493139341,user806@example.com,570,51+,Married with Kids,701383,Referral,High,High,3,10,1
+91-9386926460,user807@example.com,580,18-25,Single,868460,Event,High,Low,30,11,0
+91-8927400150,user808@example.com,580,26-35,Single,824291,Event,High,Medium,5,9,0
+91-7448165885,user809@example.com,510,18-25,Single,190925,Website,Medium,Medium,9,4,0
+91-8906184518,user810@example.com,560,36-50,Married with Kids,690669,Referral,High,High,2,9,0
+91-9295372338,user811@example.com,570,36-50,Married with Kids,723756,Event,High,Medium,5,8,1
+91-8332423218,user812@example.com,530,18-25,Single,342330,Cold Call,Low,Low,26,3,0
+91-9121473590,user813@example.com,590,51+,Married,950181,Referral,High,Low,12,12,0
+91-7067367261,user814@example.com,510,51+,Married with Kids,113731,Website,Medium,Low,23,3,0
+91-8006226370,user815@example.com,540,18-25,Single,486791,Social Media,Medium,High,3,7,0
+91-9415777691,user816@example.com,550,18-25,Single,591874,Event,High,Low,24,6,1
+91-8980694746,user817@example.com,560,36-50,Married,675312,Cold Call,Low,Medium,4,6,0
+91-7853145987,user818@example.com,570,51+,Married,741000,Website,Medium,High,1,10,1
+91-9174284544,user819@example.com,520,18-25,Single,201121,Referral,High,Low,28,2,0
+91-9110008864,user820@example.com,530,36-50,Married,365976,Event,High,Low,14,6,0
+91-7205542656,user821@example.com,560,51+,Married with Kids,656620,Website,Medium,Medium,7,7,0
+91-7185754427,user822@example.com,510,26-35,Single,112467,Website,Medium,Medium,10,2,0
+91-9489532328,user823@example.com,510,36-50,Married with Kids,141025,Cold Call,Low,High,2,2,0
+91-8143051306,user824@example.com,520,51+,Married with Kids,244179,Social Media,Medium,Low,21,5,1
+91-9782909110,user825@example.com,510,51+,Married with Kids,177994,Social Media,Medium,Low,22,2,0
+91-7059717738,user826@example.com,510,36-50,Married with Kids,194202,Social Media,Medium,Medium,4,1,0
+91-8119935007,user827@example.com,560,26-35,Married,667769,Referral,High,High,2,9,1
+91-7835374138,user828@example.com,540,36-50,Married,495797,Website,Medium,Medium,4,6,0
+91-9205410937,user829@example.com,560,51+,Married,699406,Referral,High,Medium,8,7,1
+91-7190103521,user830@example.com,540,18-25,Single,486154,Website,Medium,High,1,4,0
+91-7980872796,user831@example.com,550,18-25,Single,544854,Cold Call,Low,Low,19,6,0
+91-7064691810,user832@example.com,570,36-50,Married,748002,Cold Call,Low,Low,30,7,0
+91-9696435129,user833@example.com,580,51+,Married,848987,Referral,High,Low,21,8,0
+91-7082879562,user834@example.com,520,18-25,Single,260185,Referral,High,High,1,3,0
+91-8834350351,user835@example.com,510,51+,Married,184363,Cold Call,Low,High,2,2,0
+91-8901733436,user836@example.com,540,36-50,Married,425188,Event,High,High,1,4,1
+91-7017687577,user837@example.com,530,18-25,Single,311027,Social Media,Medium,High,2,6,0
+91-7062362331,user838@example.com,530,51+,Married,373958,Social Media,Medium,High,3,3,0
+91-7573059394,user839@example.com,540,18-25,Single,461484,Cold Call,Low,Medium,7,4,0
+91-9088529849,user840@example.com,530,36-50,Married with Kids,372168,Social Media,Medium,Low,19,5,0
+91-7523274017,user841@example.com,580,51+,Married with Kids,818648,Event,High,High,1,10,0
+91-8034898732,user842@example.com,590,18-25,Single,995668,Event,High,Low,29,10,0
+91-8637601420,user843@example.com,560,36-50,Married with Kids,682124,Website,Medium,High,1,7,1
+91-7083011682,user844@example.com,530,18-25,Single,369579,Referral,High,Low,26,3,0
+91-9967758773,user845@example.com,530,18-25,Single,355095,Social Media,Medium,Medium,8,5,0
+91-9948345805,user846@example.com,590,26-35,Married,957033,Event,High,Low,25,10,0
+91-8735119417,user847@example.com,550,26-35,Single,581632,Referral,High,Low,13,5,0
+91-9571092591,user848@example.com,530,36-50,Married with Kids,361176,Referral,High,High,3,5,0
+91-8868259283,user849@example.com,540,26-35,Single,483015,Website,Medium,Low,21,6,0
+91-9100342984,user850@example.com,530,36-50,Married with Kids,349717,Referral,High,Medium,7,3,0
+91-7751889878,user851@example.com,570,26-35,Married,758767,Referral,High,Medium,9,9,0
+91-8313995061,user852@example.com,590,18-25,Single,985375,Cold Call,Low,Medium,5,11,1
+91-8841583389,user853@example.com,510,36-50,Married,132940,Website,Medium,High,1,4,0
+91-8476133800,user854@example.com,560,36-50,Married,629954,Website,Medium,High,3,7,1
+91-7544311919,user855@example.com,530,18-25,Single,399266,Social Media,Medium,High,1,5,0
+91-8501954477,user856@example.com,520,36-50,Married,256164,Referral,High,High,2,2,1
+91-7550149489,user857@example.com,530,36-50,Married,306717,Social Media,Medium,High,1,6,1
+91-8408394895,user858@example.com,540,26-35,Single,463334,Event,High,Medium,9,4,1
+91-8921013879,user859@example.com,540,36-50,Married,462612,Referral,High,Low,21,6,0
+91-7342322667,user860@example.com,510,51+,Married with Kids,126505,Event,High,Medium,7,3,0
+91-8810050924,user861@example.com,560,18-25,Single,661001,Cold Call,Low,High,1,8,0
+91-8359646886,user862@example.com,550,26-35,Married,547603,Referral,High,Medium,9,8,0
+91-7337044605,user863@example.com,590,26-35,Married,929601,Social Media,Medium,Low,27,12,0
+91-9441259111,user864@example.com,530,51+,Married with Kids,304354,Social Media,Medium,High,3,6,0
+91-9527467471,user865@example.com,570,18-25,Single,701799,Referral,High,Medium,7,7,0
+91-9773736709,user866@example.com,590,18-25,Single,926954,Social Media,Medium,Medium,6,10,0
+91-8187020197,user867@example.com,530,26-35,Married,312204,Referral,High,Low,22,6,0
+91-8600234519,user868@example.com,530,36-50,Married with Kids,350694,Website,Medium,High,3,5,0
+91-9227447599,user869@example.com,530,26-35,Married,349836,Social Media,Medium,High,1,6,0
+91-8675485239,user870@example.com,580,18-25,Single,858849,Referral,High,Low,17,9,0
+91-8017895996,user871@example.com,590,51+,Married with Kids,985829,Referral,High,Low,22,10,1
+91-7328160890,user872@example.com,560,26-35,Single,628168,Social Media,Medium,Low,12,8,0
+91-8769624228,user873@example.com,550,18-25,Single,536670,Website,Medium,Low,16,8,1
+91-8725855082,user874@example.com,560,26-35,Single,667827,Social Media,Medium,High,3,8,0
+91-9353028370,user875@example.com,530,36-50,Married,340056,Referral,High,High,1,5,1
+91-7876533349,user876@example.com,530,26-35,Single,319057,Website,Medium,Medium,9,3,0
+91-7587005595,user877@example.com,560,26-35,Single,639087,Event,High,Medium,6,9,1
+91-9781695557,user878@example.com,560,18-25,Single,607800,Cold Call,Low,Medium,6,7,0
+91-7040236875,user879@example.com,520,18-25,Single,204843,Social Media,Medium,High,3,2,1
+91-8585015335,user880@example.com,550,18-25,Single,543942,Referral,High,High,1,8,0
+91-7076334016,user881@example.com,510,26-35,Married,148784,Website,Medium,High,3,3,0
+91-9090807809,user882@example.com,520,36-50,Married,213034,Website,Medium,Medium,9,5,0
+91-8192249522,user883@example.com,550,51+,Married,534044,Event,High,Low,20,8,0
+91-7239194727,user884@example.com,580,51+,Married with Kids,824886,Social Media,Medium,Low,24,10,0
+91-7745444001,user885@example.com,510,18-25,Single,154362,Website,Medium,Low,12,2,1
+91-7704276376,user886@example.com,510,18-25,Single,153997,Event,High,Low,14,2,0
+91-7443104561,user887@example.com,520,26-35,Single,281413,Referral,High,Low,12,5,0
+91-8387089929,user888@example.com,550,51+,Married,512289,Event,High,High,3,8,0
+91-7146489101,user889@example.com,540,18-25,Single,464543,Social Media,Medium,Medium,10,7,0
+91-9094172639,user890@example.com,590,36-50,Married with Kids,900981,Event,High,Low,20,9,0
+91-9506349406,user891@example.com,590,36-50,Married with Kids,943352,Website,Medium,Low,24,10,1
+91-7759627583,user892@example.com,580,18-25,Single,840686,Website,Medium,Low,21,11,0
+91-9782108487,user893@example.com,550,18-25,Single,568731,Cold Call,Low,High,3,8,0
+91-7511382592,user894@example.com,580,51+,Married with Kids,884752,Event,High,Low,18,8,0
+91-7310685487,user895@example.com,550,51+,Married with Kids,513532,Referral,High,Medium,4,5,0
+91-9978225556,user896@example.com,520,26-35,Married,257255,Social Media,Medium,High,3,4,0
+91-8904793438,user897@example.com,590,51+,Married,980292,Cold Call,Low,High,3,10,0
+91-8023471513,user898@example.com,560,36-50,Married,648912,Event,High,High,1,9,0
+91-9139212982,user899@example.com,580,36-50,Married,817875,Referral,High,Low,11,8,1
+91-8592544842,user900@example.com,580,18-25,Single,859072,Cold Call,Low,Low,27,11,0
+91-7494097021,user901@example.com,550,51+,Married,578997,Website,Medium,Low,25,6,1
+91-8090015837,user902@example.com,560,26-35,Single,670993,Social Media,Medium,Low,26,7,0
+91-9497062296,user903@example.com,570,36-50,Married with Kids,713614,Event,High,Medium,4,9,0
+91-8739291523,user904@example.com,550,36-50,Married with Kids,519972,Referral,High,High,2,8,0
+91-7491014845,user905@example.com,590,26-35,Single,946822,Website,Medium,Low,18,9,0
+91-9627201755,user906@example.com,510,26-35,Single,168369,Cold Call,Low,Medium,5,1,0
+91-7159936504,user907@example.com,530,36-50,Married with Kids,301893,Social Media,Medium,High,2,3,0
+91-8302304637,user908@example.com,530,36-50,Married,371733,Cold Call,Low,High,3,4,1
+91-8937227459,user909@example.com,570,26-35,Single,737300,Cold Call,Low,High,1,10,0
+91-9328362432,user910@example.com,590,36-50,Married with Kids,959613,Referral,High,Low,26,9,1
+91-7594578992,user911@example.com,580,18-25,Single,800146,Website,Medium,High,2,9,0
+91-8987545164,user912@example.com,580,18-25,Single,850046,Event,High,Low,28,9,0
+91-7334334265,user913@example.com,570,26-35,Single,747999,Referral,High,Medium,6,7,0
+91-8186842409,user914@example.com,510,51+,Married with Kids,176425,Social Media,Medium,High,2,3,0
+91-9833480063,user915@example.com,550,26-35,Married,596297,Cold Call,Low,Medium,10,8,0
+91-8795878759,user916@example.com,560,26-35,Single,640282,Social Media,Medium,Low,30,9,0
+91-8685732757,user917@example.com,520,51+,Married with Kids,211915,Referral,High,Low,27,3,0
+91-9761309967,user918@example.com,540,51+,Married with Kids,485105,Referral,High,Low,20,4,0
+91-8979951380,user919@example.com,550,51+,Married with Kids,583414,Event,High,High,2,8,0
+91-9411909745,user920@example.com,520,18-25,Single,204672,Cold Call,Low,High,2,2,0
+91-9827309937,user921@example.com,590,36-50,Married with Kids,913071,Referral,High,Medium,9,9,1
+91-8190387538,user922@example.com,530,18-25,Single,379349,Social Media,Medium,Low,23,3,0
+91-9213077695,user923@example.com,540,36-50,Married,418821,Event,High,Medium,4,5,1
+91-9061454058,user924@example.com,510,18-25,Single,132930,Social Media,Medium,Low,28,3,0
+91-8305733837,user925@example.com,510,36-50,Married,173313,Cold Call,Low,Low,17,2,0
+91-7730724310,user926@example.com,580,18-25,Single,849211,Event,High,Medium,8,11,0
+91-7846953892,user927@example.com,520,51+,Married with Kids,213153,Event,High,Low,11,2,0
+91-7450475407,user928@example.com,550,26-35,Married,585725,Event,High,Medium,8,5,1
+91-7934353255,user929@example.com,590,18-25,Single,904748,Website,Medium,High,2,12,0
+91-9748185735,user930@example.com,530,36-50,Married,332911,Event,High,Medium,10,5,0
+91-8839009409,user931@example.com,510,51+,Married with Kids,196058,Social Media,Medium,Medium,5,3,0
+91-9526981214,user932@example.com,510,18-25,Single,187876,Social Media,Medium,Low,12,1,0
+91-8379071573,user933@example.com,570,18-25,Single,709654,Cold Call,Low,Medium,6,9,1
+91-9026773213,user934@example.com,560,51+,Married with Kids,637691,Referral,High,High,1,7,1
+91-7915951495,user935@example.com,540,18-25,Single,442196,Referral,High,High,1,7,0
+91-7431075595,user936@example.com,580,26-35,Single,872838,Website,Medium,High,2,9,0
+91-7333881583,user937@example.com,530,18-25,Single,361420,Event,High,High,2,5,1
+91-8860478403,user938@example.com,550,26-35,Married,577843,Website,Medium,Medium,4,7,0
+91-7354445646,user939@example.com,540,26-35,Single,435639,Cold Call,Low,High,1,6,1
+91-9640866288,user940@example.com,520,51+,Married,263004,Cold Call,Low,Medium,8,5,0
+91-7373219245,user941@example.com,540,18-25,Single,458234,Referral,High,Medium,8,5,0
+91-7473686200,user942@example.com,530,51+,Married,398845,Cold Call,Low,Low,12,6,1
+91-7615183486,user943@example.com,540,18-25,Single,496601,Event,High,Medium,6,4,0
+91-8964407402,user944@example.com,580,18-25,Single,876684,Social Media,Medium,Medium,9,10,0
+91-7965411271,user945@example.com,560,36-50,Married,681529,Cold Call,Low,Low,24,9,0
+91-8270192599,user946@example.com,570,18-25,Single,765727,Website,Medium,High,3,7,0
+91-7966271196,user947@example.com,510,51+,Married with Kids,165030,Event,High,High,3,1,0
+91-7831467478,user948@example.com,580,26-35,Single,801865,Cold Call,Low,Medium,4,8,0
+91-8210921663,user949@example.com,520,18-25,Single,264404,Cold Call,Low,Low,18,3,0
+91-8519968911,user950@example.com,530,36-50,Married with Kids,307397,Event,High,Medium,9,5,0
+91-8576899543,user951@example.com,550,51+,Married with Kids,579702,Cold Call,Low,Medium,9,7,0
+91-8920766766,user952@example.com,550,18-25,Single,518779,Social Media,Medium,High,1,7,1
+91-8836054950,user953@example.com,520,51+,Married,205185,Referral,High,Low,22,4,1
+91-9755332633,user954@example.com,510,36-50,Married with Kids,136404,Event,High,Medium,8,1,0
+91-9419993208,user955@example.com,510,36-50,Married with Kids,155182,Website,Medium,High,2,4,0
+91-7999138412,user956@example.com,530,51+,Married,395135,Cold Call,Low,Medium,6,5,0
+91-9293983510,user957@example.com,570,18-25,Single,728889,Referral,High,High,3,7,1
+91-8656688545,user958@example.com,580,26-35,Single,803023,Website,Medium,Low,20,10,0
+91-7049342554,user959@example.com,590,36-50,Married,952318,Website,Medium,Medium,6,12,1
+91-9843938853,user960@example.com,570,18-25,Single,746290,Social Media,Medium,Low,14,10,0
+91-7439140483,user961@example.com,540,18-25,Single,445992,Referral,High,High,3,4,0
+91-7589057935,user962@example.com,590,26-35,Married,944124,Event,High,Low,28,10,0
+91-7645151429,user963@example.com,530,36-50,Married,325461,Referral,High,Low,14,4,0
+91-7966048729,user964@example.com,590,36-50,Married,923932,Referral,High,Low,17,9,0
+91-7008656698,user965@example.com,590,18-25,Single,920217,Website,Medium,Medium,9,11,0
+91-9195005761,user966@example.com,570,18-25,Single,708434,Social Media,Medium,High,1,10,0
+91-9159787319,user967@example.com,550,26-35,Single,588195,Social Media,Medium,Low,12,8,0
+91-8809508257,user968@example.com,560,26-35,Married,672285,Referral,High,Medium,6,9,0
+91-7226996197,user969@example.com,560,36-50,Married with Kids,631458,Referral,High,High,3,6,0
+91-9885563171,user970@example.com,520,51+,Married,244375,Cold Call,Low,High,3,3,1
+91-9083062691,user971@example.com,540,36-50,Married with Kids,433887,Website,Medium,High,2,4,0
+91-8624076289,user972@example.com,550,18-25,Single,571068,Event,High,Low,12,8,1
+91-9135568353,user973@example.com,510,36-50,Married with Kids,135187,Event,High,Low,17,2,0
+91-7588764468,user974@example.com,580,51+,Married with Kids,820394,Social Media,Medium,Low,17,8,0
+91-9587243092,user975@example.com,570,26-35,Single,757253,Website,Medium,High,2,9,0
+91-8272781204,user976@example.com,570,51+,Married,769113,Social Media,Medium,High,2,8,1
+91-7111139391,user977@example.com,510,51+,Married with Kids,138090,Event,High,Low,29,2,0
+91-8889135054,user978@example.com,550,51+,Married with Kids,569984,Referral,High,Low,27,7,0
+91-7601758382,user979@example.com,590,26-35,Married,945844,Website,Medium,High,2,9,1
+91-8499171448,user980@example.com,580,51+,Married with Kids,877766,Website,Medium,High,1,10,0
+91-8229687249,user981@example.com,540,51+,Married,418174,Cold Call,Low,Medium,5,6,0
+91-8044688514,user982@example.com,560,51+,Married with Kids,641797,Referral,High,Medium,6,8,0
+91-9991380447,user983@example.com,510,18-25,Single,168653,Referral,High,Low,24,3,1
+91-8328329784,user984@example.com,570,51+,Married,792289,Social Media,Medium,High,2,9,0
+91-7365866830,user985@example.com,540,26-35,Single,491770,Website,Medium,High,3,5,1
+91-7789809947,user986@example.com,530,51+,Married,366186,Social Media,Medium,Medium,6,4,0
+91-9160884926,user987@example.com,520,51+,Married,293646,Referral,High,High,1,3,1
+91-7282761708,user988@example.com,530,26-35,Single,399345,Cold Call,Low,Low,16,5,0
+91-7878509231,user989@example.com,580,51+,Married,847642,Website,Medium,Medium,9,9,0
+91-7308057633,user990@example.com,560,26-35,Single,638304,Referral,High,High,2,7,0
+91-7774792225,user991@example.com,530,51+,Married,387166,Cold Call,Low,High,2,6,1
+91-9277745050,user992@example.com,580,26-35,Married,856322,Event,High,Low,15,9,0
+91-7876513277,user993@example.com,560,51+,Married,652226,Referral,High,High,2,7,0
+91-9131847324,user994@example.com,520,51+,Married with Kids,274750,Event,High,Medium,4,5,0
+91-9182962800,user995@example.com,530,18-25,Single,360710,Social Media,Medium,Medium,6,3,0
+91-7572377364,user996@example.com,530,18-25,Single,332320,Event,High,High,2,4,1
+91-8755693311,user997@example.com,590,51+,Married with Kids,948152,Referral,High,High,2,11,0
+91-9109741908,user998@example.com,540,51+,Married,467658,Event,High,High,1,6,0
+91-9880463948,user999@example.com,580,36-50,Married with Kids,812165,Website,Medium,High,3,9,0
+91-9619435930,user1000@example.com,570,26-35,Married,757346,Referral,High,Medium,10,8,1
+91-7342612983,user1001@example.com,510,36-50,Married,176478,Cold Call,Low,Low,20,4,1
+91-7015822023,user1002@example.com,550,18-25,Single,505377,Event,High,Medium,10,5,1
+91-7809941467,user1003@example.com,520,18-25,Single,227101,Website,Medium,High,1,2,0
+91-9430172539,user1004@example.com,540,18-25,Single,456843,Social Media,Medium,High,2,6,1
+91-9314387264,user1005@example.com,580,18-25,Single,816284,Social Media,Medium,Medium,4,9,0
+91-8475344143,user1006@example.com,550,51+,Married with Kids,594527,Event,High,Medium,9,7,0
+91-8116610917,user1007@example.com,540,18-25,Single,461417,Social Media,Medium,High,1,6,1
+91-8740178987,user1008@example.com,580,51+,Married,829668,Cold Call,Low,Medium,6,9,0
+91-7074981995,user1009@example.com,580,51+,Married with Kids,856488,Referral,High,High,2,9,1
+91-8752573811,user1010@example.com,560,18-25,Single,688033,Website,Medium,Medium,10,7,0
+91-8699067651,user1011@example.com,520,18-25,Single,232283,Event,High,High,2,2,0
+91-8270146710,user1012@example.com,540,26-35,Married,493445,Social Media,Medium,Medium,8,7,0
+91-8377930442,user1013@example.com,540,36-50,Married,481116,Referral,High,High,1,4,0
+91-9328234709,user1014@example.com,550,18-25,Single,541758,Cold Call,Low,Low,16,5,0
+91-7800728864,user1015@example.com,520,26-35,Single,201489,Social Media,Medium,Low,22,4,0
+91-7349600393,user1016@example.com,560,26-35,Married,656107,Social Media,Medium,Medium,6,9,1
+91-9743190434,user1017@example.com,510,36-50,Married with Kids,147779,Website,Medium,Low,11,3,1
+91-8801115899,user1018@example.com,580,51+,Married,837781,Cold Call,Low,High,2,11,0
+91-9199207999,user1019@example.com,540,18-25,Single,454388,Cold Call,Low,Medium,4,6,0
+91-8868250063,user1020@example.com,560,36-50,Married,689872,Event,High,Medium,7,8,0
+91-7154192292,user1021@example.com,550,18-25,Single,513166,Website,Medium,High,1,5,0
+91-7380997269,user1022@example.com,570,26-35,Single,770533,Event,High,High,3,9,0
+91-7766805134,user1023@example.com,530,26-35,Married,348815,Website,Medium,High,3,6,0
+91-9679967628,user1024@example.com,590,51+,Married with Kids,944464,Cold Call,Low,Medium,4,9,0
+91-9820193218,user1025@example.com,540,26-35,Single,477218,Website,Medium,High,1,4,1
+91-7473810211,user1026@example.com,540,26-35,Single,461417,Website,Medium,Low,11,4,0
+91-8267678463,user1027@example.com,590,36-50,Married,914468,Website,Medium,Medium,8,9,0
+91-7760383850,user1028@example.com,530,18-25,Single,354957,Referral,High,High,1,3,0
+91-9121308978,user1029@example.com,560,18-25,Single,695644,Referral,High,Medium,10,9,0
+91-8741703602,user1030@example.com,520,36-50,Married with Kids,245364,Cold Call,Low,Low,25,2,0
+91-9991693582,user1031@example.com,560,51+,Married,627340,Website,Medium,Low,18,9,0
+91-8788588140,user1032@example.com,540,18-25,Single,406521,Cold Call,Low,High,1,4,0
+91-9256973487,user1033@example.com,520,26-35,Married,298910,Referral,High,Medium,5,5,0
+91-8350051542,user1034@example.com,540,18-25,Single,429963,Website,Medium,High,3,4,0
+91-9525309038,user1035@example.com,520,26-35,Married,246692,Event,High,Medium,7,4,0
+91-8131031277,user1036@example.com,510,51+,Married with Kids,130461,Referral,High,High,3,4,1
+91-7972083236,user1037@example.com,590,36-50,Married with Kids,907182,Referral,High,High,1,11,0
+91-8443244859,user1038@example.com,510,18-25,Single,109472,Referral,High,Medium,7,2,0
+91-7219945892,user1039@example.com,590,36-50,Married with Kids,955695,Website,Medium,Medium,9,11,1
+91-8186973938,user1040@example.com,520,18-25,Single,212036,Social Media,Medium,Low,15,4,0
+91-8968995197,user1041@example.com,520,26-35,Single,288674,Event,High,Low,24,4,0
+91-8205317202,user1042@example.com,530,36-50,Married with Kids,387667,Event,High,Medium,10,4,0
+91-7236195477,user1043@example.com,570,18-25,Single,786126,Cold Call,Low,Low,16,9,0
+91-8951738818,user1044@example.com,590,26-35,Married,989694,Website,Medium,Low,13,12,0
+91-7030235435,user1045@example.com,560,36-50,Married with Kids,690348,Referral,High,Medium,4,6,0
+91-8422467580,user1046@example.com,530,36-50,Married,371223,Social Media,Medium,Medium,4,6,1
+91-7401436853,user1047@example.com,570,18-25,Single,763759,Website,Medium,Medium,7,7,0
+91-8798552261,user1048@example.com,540,18-25,Single,422870,Website,Medium,High,3,7,0
+91-8882159539,user1049@example.com,540,18-25,Single,455050,Social Media,Medium,Medium,4,4,0
+91-7911528947,user1050@example.com,530,26-35,Married,378676,Referral,High,Medium,10,6,0
+91-7836660468,user1051@example.com,550,18-25,Single,575573,Website,Medium,Medium,6,5,0
+91-9085519593,user1052@example.com,510,36-50,Married,143162,Event,High,Low,26,3,1
+91-8420945018,user1053@example.com,530,36-50,Married with Kids,373497,Event,High,Medium,6,3,0
+91-8103630849,user1054@example.com,520,18-25,Single,212313,Social Media,Medium,Low,17,4,0
+91-8525636527,user1055@example.com,510,18-25,Single,128477,Referral,High,High,1,4,0
+91-8370543575,user1056@example.com,570,51+,Married with Kids,779930,Social Media,Medium,Medium,5,10,0
+91-7601199031,user1057@example.com,510,36-50,Married with Kids,186373,Website,Medium,Medium,7,3,1
+91-9851507393,user1058@example.com,570,26-35,Married,793464,Event,High,Low,29,10,0
+91-8845300464,user1059@example.com,580,51+,Married,818730,Cold Call,Low,High,1,11,0
+91-9337592993,user1060@example.com,560,18-25,Single,628839,Social Media,Medium,Medium,9,6,1
+91-8356385845,user1061@example.com,510,18-25,Single,168359,Cold Call,Low,High,1,1,0
+91-7273645197,user1062@example.com,550,36-50,Married,548096,Cold Call,Low,High,2,5,0
+91-8289942599,user1063@example.com,520,18-25,Single,243988,Event,High,Medium,10,5,1
+91-9380719811,user1064@example.com,520,26-35,Single,226150,Social Media,Medium,High,2,5,1
+91-7349555996,user1065@example.com,550,36-50,Married,573919,Cold Call,Low,High,1,6,0
+91-9882883711,user1066@example.com,570,18-25,Single,796805,Website,Medium,Medium,8,9,0
+91-9724101889,user1067@example.com,540,36-50,Married,409780,Referral,High,Low,24,7,0
+91-7058323862,user1068@example.com,550,18-25,Single,567143,Referral,High,Medium,6,7,0
+91-9215027556,user1069@example.com,590,18-25,Single,916117,Event,High,High,1,11,0
+91-7403703669,user1070@example.com,590,18-25,Single,937566,Social Media,Medium,Medium,10,10,1
+91-9427342695,user1071@example.com,540,26-35,Married,451060,Social Media,Medium,Low,29,7,0
+91-8605889539,user1072@example.com,520,26-35,Single,207967,Referral,High,High,1,3,0
+91-8574979462,user1073@example.com,510,36-50,Married,194455,Website,Medium,High,3,3,0
+91-9895157375,user1074@example.com,580,18-25,Single,883123,Referral,High,Low,24,11,0
+91-7137855999,user1075@example.com,550,18-25,Single,561063,Referral,High,Low,18,5,0
+91-9462848472,user1076@example.com,520,26-35,Single,275405,Social Media,Medium,High,1,2,1
+91-7192327402,user1077@example.com,530,18-25,Single,339646,Cold Call,Low,Low,18,5,0
+91-7643099077,user1078@example.com,520,26-35,Single,289937,Website,Medium,Medium,5,4,0
+91-8531848604,user1079@example.com,550,18-25,Single,572312,Social Media,Medium,Low,29,6,0
+91-9673170689,user1080@example.com,590,36-50,Married,936188,Referral,High,Medium,8,9,1
+91-9382287384,user1081@example.com,540,18-25,Single,485007,Cold Call,Low,High,2,7,1
+91-7592618096,user1082@example.com,510,18-25,Single,161192,Website,Medium,High,2,1,1
+91-7072430664,user1083@example.com,520,51+,Married with Kids,291758,Event,High,High,2,3,0
+91-9086962973,user1084@example.com,590,26-35,Married,935165,Website,Medium,High,3,9,1
+91-8645885104,user1085@example.com,530,18-25,Single,335161,Website,Medium,High,3,3,0
+91-8502548019,user1086@example.com,590,18-25,Single,912425,Referral,High,Low,15,12,0
+91-8673019405,user1087@example.com,570,51+,Married with Kids,785852,Referral,High,Low,27,7,1
+91-9269598187,user1088@example.com,570,51+,Married with Kids,776341,Event,High,High,2,10,1
+91-8785168789,user1089@example.com,530,26-35,Single,386287,Event,High,Low,15,6,1
+91-9406302828,user1090@example.com,580,51+,Married,815637,Event,High,Low,23,11,0
+91-7321024326,user1091@example.com,520,36-50,Married with Kids,207044,Social Media,Medium,High,3,2,0
+91-8652082036,user1092@example.com,560,51+,Married with Kids,605173,Social Media,Medium,Low,29,6,1
+91-9334007348,user1093@example.com,520,36-50,Married,281062,Referral,High,High,3,4,0
+91-9620971782,user1094@example.com,570,26-35,Single,752694,Referral,High,High,2,7,0
+91-9311379188,user1095@example.com,550,26-35,Single,556104,Event,High,High,3,5,1
+91-9055349932,user1096@example.com,510,26-35,Single,169351,Social Media,Medium,High,3,4,0
+91-8327098738,user1097@example.com,550,26-35,Married,590588,Cold Call,Low,Low,16,7,1
+91-9486202179,user1098@example.com,580,26-35,Married,805359,Social Media,Medium,Low,30,9,1
+91-8921213830,user1099@example.com,530,36-50,Married with Kids,334085,Referral,High,Medium,8,3,0
+91-9649802731,user1100@example.com,580,36-50,Married,858171,Social Media,Medium,Medium,4,11,0
+91-9580990795,user1101@example.com,550,26-35,Married,598095,Referral,High,High,3,7,0
+91-7612134291,user1102@example.com,510,51+,Married,170309,Event,High,Medium,6,1,1
+91-7163785343,user1103@example.com,570,18-25,Single,786093,Event,High,Low,30,10,0
+91-8699353718,user1104@example.com,520,26-35,Married,219156,Event,High,Low,16,5,0
+91-7142491255,user1105@example.com,540,51+,Married,438144,Cold Call,Low,Medium,5,7,0
+91-9274823448,user1106@example.com,550,18-25,Single,541848,Cold Call,Low,Medium,4,5,0
+91-8736078758,user1107@example.com,510,26-35,Married,121576,Referral,High,Low,28,2,0
